Dybde (m),Oppholdstid (år),Produkt,Faktor (-)
5,0.3,Microdol1,0.839
5,0.5,Microdol1,0.932
5,0.7,Microdol1,0.985
5,1.0,Microdol1,1.025
5,1.5,Microdol1,1.056
5,2.0,Microdol1,1.071
10,0.3,Microdol1,0.825
10,0.5,Microdol1,0.93
10,0.7,Microdol1,0.991
10,1.0,Microdol1,1.037
10,1.5,Microdol1,1.073
10,2.0,Microdol1,1.091
15,0.3,Microdol1,0.824
15,0.5,Microdol1,0.929
15,0.7,Microdol1,0.991
15,1.0,Microdol1,1.037
15,1.5,Microdol1,1.073
15,2.0,Microdol1,1.09
20,0.3,Microdol1,0.829
20,0.5,Microdol1,0.93
20,0.7,Microdol1,0.988
20,1.0,Microdol1,1.031
20,1.5,Microdol1,1.064
20,2.0,Microdol1,1.08
5,0.3,Microdol5,0.849
5,0.5,Microdol5,0.934
5,0.7,Microdol5,0.976
5,1.0,Microdol5,1.008
5,1.5,Microdol5,1.031
5,2.0,Microdol5,1.043
10,0.3,Microdol5,0.836
10,0.5,Microdol5,0.933
10,0.7,Microdol5,0.981
10,1.0,Microdol5,1.017
10,1.5,Microdol5,1.044
10,2.0,Microdol5,1.057
15,0.3,Microdol5,0.836
15,0.5,Microdol5,0.933
15,0.7,Microdol5,0.981
15,1.0,Microdol5,1.016
15,1.5,Microdol5,1.042
15,2.0,Microdol5,1.055
20,0.3,Microdol5,0.841
20,0.5,Microdol5,0.934
20,0.7,Microdol5,0.978
20,1.0,Microdol5,1.01
20,1.5,Microdol5,1.034
20,2.0,Microdol5,1.046
5,0.3,Miljøkalk EY3,0.978
5,0.5,Miljøkalk EY3,0.995
5,0.7,Miljøkalk EY3,1.015
5,1.0,Miljøkalk EY3,1.03
5,1.5,Miljøkalk EY3,1.041
5,2.0,Miljøkalk EY3,1.047
10,0.3,Miljøkalk EY3,0.976
10,0.5,Miljøkalk EY3,0.994
10,0.7,Miljøkalk EY3,1.017
10,1.0,Miljøkalk EY3,1.032
10,1.5,Miljøkalk EY3,1.044
10,2.0,Miljøkalk EY3,1.049
15,0.3,Miljøkalk EY3,0.973
15,0.5,Miljøkalk EY3,0.994
15,0.7,Miljøkalk EY3,1.017
15,1.0,Miljøkalk EY3,1.034
15,1.5,Miljøkalk EY3,1.046
15,2.0,Miljøkalk EY3,1.052
20,0.3,Miljøkalk EY3,0.971
20,0.5,Miljøkalk EY3,0.994
20,0.7,Miljøkalk EY3,1.018
20,1.0,Miljøkalk EY3,1.036
20,1.5,Miljøkalk EY3,1.048
20,2.0,Miljøkalk EY3,1.054
5,0.3,Miljøkalk VK3,1.0
5,0.5,Miljøkalk VK3,1.0
5,0.7,Miljøkalk VK3,1.0
5,1.0,Miljøkalk VK3,1.0
5,1.5,Miljøkalk VK3,1.0
5,2.0,Miljøkalk VK3,1.0
10,0.3,Miljøkalk VK3,1.0
10,0.5,Miljøkalk VK3,1.0
10,0.7,Miljøkalk VK3,1.0
10,1.0,Miljøkalk VK3,1.0
10,1.5,Miljøkalk VK3,1.0
10,2.0,Miljøkalk VK3,1.0
15,0.3,Miljøkalk VK3,1.0
15,0.5,Miljøkalk VK3,1.0
15,0.7,Miljøkalk VK3,1.0
15,1.0,Miljøkalk VK3,1.0
15,1.5,Miljøkalk VK3,1.0
15,2.0,Miljøkalk VK3,1.0
20,0.3,Miljøkalk VK3,1.0
20,0.5,Miljøkalk VK3,1.0
20,0.7,Miljøkalk VK3,1.0
20,1.0,Miljøkalk VK3,1.0
20,1.5,Miljøkalk VK3,1.0
20,2.0,Miljøkalk VK3,1.0
5,0.3,Omya Hustadmarmor Biokalk,2.078
5,0.5,Omya Hustadmarmor Biokalk,1.492
5,0.7,Omya Hustadmarmor Biokalk,1.366
5,1.0,Omya Hustadmarmor Biokalk,1.291
5,1.5,Omya Hustadmarmor Biokalk,1.242
5,2.0,Omya Hustadmarmor Biokalk,1.22
10,0.3,Omya Hustadmarmor Biokalk,2.055
10,0.5,Omya Hustadmarmor Biokalk,1.489
10,0.7,Omya Hustadmarmor Biokalk,1.375
10,1.0,Omya Hustadmarmor Biokalk,1.308
10,1.5,Omya Hustadmarmor Biokalk,1.264
10,2.0,Omya Hustadmarmor Biokalk,1.245
15,0.3,Omya Hustadmarmor Biokalk,2.056
15,0.5,Omya Hustadmarmor Biokalk,1.488
15,0.7,Omya Hustadmarmor Biokalk,1.378
15,1.0,Omya Hustadmarmor Biokalk,1.312
15,1.5,Omya Hustadmarmor Biokalk,1.27
15,2.0,Omya Hustadmarmor Biokalk,1.251
20,0.3,Omya Hustadmarmor Biokalk,2.07
20,0.5,Omya Hustadmarmor Biokalk,1.489
20,0.7,Omya Hustadmarmor Biokalk,1.376
20,1.0,Omya Hustadmarmor Biokalk,1.31
20,1.5,Omya Hustadmarmor Biokalk,1.267
20,2.0,Omya Hustadmarmor Biokalk,1.248
5,0.3,Visnes Filterkalk Kat3,1.092
5,0.5,Visnes Filterkalk Kat3,1.005
5,0.7,Visnes Filterkalk Kat3,0.98
5,1.0,Visnes Filterkalk Kat3,0.963
5,1.5,Visnes Filterkalk Kat3,0.951
5,2.0,Visnes Filterkalk Kat3,0.945
10,0.3,Visnes Filterkalk Kat3,1.079
10,0.5,Visnes Filterkalk Kat3,1.003
10,0.7,Visnes Filterkalk Kat3,0.985
10,1.0,Visnes Filterkalk Kat3,0.973
10,1.5,Visnes Filterkalk Kat3,0.965
10,2.0,Visnes Filterkalk Kat3,0.961
15,0.3,Visnes Filterkalk Kat3,1.081
15,0.5,Visnes Filterkalk Kat3,1.003
15,0.7,Visnes Filterkalk Kat3,0.985
15,1.0,Visnes Filterkalk Kat3,0.974
15,1.5,Visnes Filterkalk Kat3,0.966
15,2.0,Visnes Filterkalk Kat3,0.962
20,0.3,Visnes Filterkalk Kat3,1.091
20,0.5,Visnes Filterkalk Kat3,1.004
20,0.7,Visnes Filterkalk Kat3,0.983
20,1.0,Visnes Filterkalk Kat3,0.969
20,1.5,Visnes Filterkalk Kat3,0.959
20,2.0,Visnes Filterkalk Kat3,0.955
5,0.3,Visnes Filterkalk Kat4,0.958
5,0.5,Visnes Filterkalk Kat4,1.006
5,0.7,Visnes Filterkalk Kat4,1.037
5,1.0,Visnes Filterkalk Kat4,1.058
5,1.5,Visnes Filterkalk Kat4,1.075
5,2.0,Visnes Filterkalk Kat4,1.083
10,0.3,Visnes Filterkalk Kat4,0.945
10,0.5,Visnes Filterkalk Kat4,1.004
10,0.7,Visnes Filterkalk Kat4,1.042
10,1.0,Visnes Filterkalk Kat4,1.069
10,1.5,Visnes Filterkalk Kat4,1.09
10,2.0,Visnes Filterkalk Kat4,1.099
15,0.3,Visnes Filterkalk Kat4,0.945
15,0.5,Visnes Filterkalk Kat4,1.004
15,0.7,Visnes Filterkalk Kat4,1.042
15,1.0,Visnes Filterkalk Kat4,1.07
15,1.5,Visnes Filterkalk Kat4,1.09
15,2.0,Visnes Filterkalk Kat4,1.099
20,0.3,Visnes Filterkalk Kat4,0.953
20,0.5,Visnes Filterkalk Kat4,1.005
20,0.7,Visnes Filterkalk Kat4,1.039
20,1.0,Visnes Filterkalk Kat4,1.064
20,1.5,Visnes Filterkalk Kat4,1.081
20,2.0,Visnes Filterkalk Kat4,1.09
